main_part_number;manufacturer;category;origin;deposit;quantity
	106-594	;	ADMAL PLAST	;	Plastiki	;	PL	;145.00;3
	106-594	;	ADMAL PLAST	;	Plastiki	;	PL	;145.00;3
	106-594	;	ADMAL PLAST	;	Plastiki	;	PL	;145.00;3
	80.920.02	;	MIRAGLIO	;	Pozostale elementy zabezpieczen	;	IT	;145.00;3
	80.920.02	;	MIRAGLIO	;	Pozostale elementy zabezpieczen	;	IT	;145.00;3
	80.920.02	;	MIRAGLIO	;	Pozostale elementy zabezpieczen	;	IT	;145.00;3
	80.920.02	;	MIRAGLIO	;	Pozostale elementy zabezpieczen	;	IT	;145.00;3
	1213G01	;	ABAKUS	;	Lusterka i wklady	;	PL	;145.00;3
	1213G01	;	ABAKUS	;	Lusterka i wklady	;	PL	;145.00;3
	106-594	;	ADMAL PLAST	;	Plastiki	;	PL	;145.00;3
	80.920.02	;	MIRAGLIO	;	Pozostale elementy zabezpieczen	;	IT	;145.00;3
	106-594	;	ADMAL PLAST	;	Plastiki	;	PL	;145.00;3
	106-594	;	ADMAL PLAST	;	Plastiki	;	PL	;145.00;3
	106-594	;	ADMAL PLAST	;	Plastiki	;	PL	;145.00;3
	1213G01	;	ABAKUS	;	Lusterka i wklady	;	PL	;145.00;3
	1213G01	;	ABAKUS	;	Lusterka i wklady	;	PL	;145.00;3
	1213G01	;	ABAKUS	;	Lusterka i wklady	;	PL	;145.00;3
	1213G01	;	ABAKUS	;	Lusterka i wklady	;	PL	;145.00;3
	1213G01	;	ABAKUS	;	Lusterka i wklady	;	PL	;145.00;3
	106-594	;	ADMAL PLAST	;	Plastiki	;	PL	;145.00;3
	1213G01	;	ABAKUS	;	Lusterka i wklady	;	PL	;145.00;3
	106-594	;	ADMAL PLAST	;	Plastiki	;	PL	;145.00;3
	106-594	;	ADMAL PLAST	;	Plastiki	;	PL	;145.00;3
	106-594	;	ADMAL PLAST	;	Plastiki	;	PL	;145.00;3
	106-594	;	ADMAL PLAST	;	Plastiki	;	PL	;145.00;3
	1213G01	;	ABAKUS	;	Lusterka i wklady	;	PL	;145.00;3
	1213G01	;	ABAKUS	;	Lusterka i wklady	;	PL	;145.00;3
	1213G01	;	ABAKUS	;	Lusterka i wklady	;	PL	;145.00;3
	1213G01	;	ABAKUS	;	Lusterka i wklady	;	PL	;145.00;3
	1213G01	;	ABAKUS	;	Lusterka i wklady	;	PL	;145.00;3
	1213G01	;	ABAKUS	;	Lusterka i wklady	;	PL	;145.00;3
	1213G01	;	ABAKUS	;	Lusterka i wklady	;	PL	;145.00;3
	1213G01	;	ABAKUS	;	Lusterka i wklady	;	PL	;145.00;3
	80.920.02	;	MIRAGLIO	;	Pozostale elementy zabezpieczen	;	IT	;145.00;3
	106-594	;	ADMAL PLAST	;	Plastiki	;	PL	;145.00;3
	106-594	;	ADMAL PLAST	;	Plastiki	;	PL	;145.00;3
	106-594	;	ADMAL PLAST	;	Plastiki	;	PL	;145.00;3
	106-594	;	ADMAL PLAST	;	Plastiki	;	PL	;145.00;3
	1213G01	;	ABAKUS	;	Lusterka i wklady	;	PL	;145.00;3
